ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"10","2018",Sentinel-1-2,PA,0.11,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,1.22,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.75,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.56,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,0.35,Portel,PDS LIBERDADE I
degradacao,"10","2018",Sentinel-1-2,PA,3.20,Portel,PDS LIBERDADE I
degradacao,"1","2021",Sentinel-1-2,PA,0.07,Senador José Porfírio,PA RESSACA
degradacao,"7","2019",Sentinel-1-2,AC,0.07,Manoel Urbano,PAR ALELUIA
degradacao,"6","2019",Sentinel-1-2,AC,0.07,Manoel Urbano,PAR ALELUIA
degradacao,"3","2016",Modis,RR,13.07,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,12.00,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,1.05,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,8.69,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,2.28,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.48,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,3.26,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.28,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,1.70,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.89,Mucajaí,PA SAMAUMA
degradacao,"3","2018",Sentinel-1-2,RR,0.78,Mucajaí,PA SAMAUMA
degradacao,"7","2019",Sentinel-1-2,RR,0.15,Mucajaí,PA SAMAUMA
degradacao,"7","2019",Sentinel-1-2,RR,0.04,Mucajaí,PA SAMAUMA
degradacao,"7","2019",Sentinel-1-2,RR,0.45,Mucajaí,PA SAMAUMA
degradacao,"10","2018",Sentinel-1-2,RR,0.05,Mucajaí,PA SAMAUMA
degradacao,"10","2018",Sentinel-1-2,RR,0.11,Mucajaí,PA VILA NOVA
degradacao,"10","2018",Sentinel-1-2,RR,0.01,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.76,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,6.64,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.55,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.14,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,2.62,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.49,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.20,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.10,Mucajaí,PA SAMAUMA
degradacao,"3","2016",Modis,RR,0.39,Mucajaí,PA VILA NOVA
