ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UNID_CONSE,USO,JURISDICAO
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.03,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,ESEC da Terra do Meio,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,Altamira,REBIO Nascentes da Serra do Cachimbo,Proteção Integral,Federal
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.02,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Sentinel-2,PA,0.01,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
