ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"11","2022",Sentinel-2,PA,1.17
degradacao,"11","2022",Sentinel-2,MT,1.12
degradacao,"11","2022",Sentinel-2,MT,1.06
degradacao,"11","2022",Sentinel-2,PA,1.04
degradacao,"11","2022",Sentinel-2,MT,1.04
degradacao,"11","2022",Sentinel-2,MT,1.03
degradacao,"11","2022",Sentinel-2,AM,1.03
degradacao,"11","2022",Sentinel-2,MT,1.02
degradacao,"11","2022",Sentinel-2,MT,0.99
degradacao,"11","2022",Sentinel-2,MT,0.98
degradacao,"11","2022",Sentinel-2,AC,0.98
degradacao,"11","2022",Sentinel-2,MT,0.97
degradacao,"11","2022",Sentinel-2,PA,0.97
degradacao,"11","2022",Sentinel-2,MT,0.96
degradacao,"11","2022",Sentinel-2,MT,0.93
degradacao,"11","2022",Sentinel-2,PA,0.90
degradacao,"11","2022",Sentinel-2,PA,0.89
degradacao,"11","2022",Sentinel-2,MT,0.89
degradacao,"11","2022",Sentinel-2,MT,0.87
degradacao,"11","2022",Sentinel-2,MT,0.87
degradacao,"11","2022",Sentinel-2,MT,0.86
degradacao,"11","2022",Sentinel-2,MT,0.86
degradacao,"11","2022",Sentinel-2,MT,0.85
degradacao,"11","2022",Sentinel-2,MT,0.83
degradacao,"11","2022",Sentinel-2,MT,0.83
degradacao,"11","2022",Sentinel-2,PA,0.82
degradacao,"11","2022",Sentinel-2,AC,0.81
degradacao,"11","2022",Sentinel-2,AC,0.80
degradacao,"11","2022",Sentinel-2,RO,0.79
degradacao,"11","2022",Sentinel-2,MT,0.78
degradacao,"11","2022",Sentinel-2,RO,0.78
degradacao,"11","2022",Sentinel-2,AM,0.78
degradacao,"11","2022",Sentinel-2,MT,0.77
degradacao,"11","2022",Sentinel-2,RO,0.77
degradacao,"11","2022",Sentinel-2,MT,0.77
degradacao,"11","2022",Sentinel-2,MT,0.77
degradacao,"11","2022",Sentinel-2,AM,0.77
degradacao,"11","2022",Sentinel-2,RO,0.76
degradacao,"11","2022",Sentinel-2,MT,0.76
degradacao,"11","2022",Sentinel-2,MT,0.75
degradacao,"11","2022",Sentinel-2,MT,0.75
degradacao,"11","2022",Sentinel-2,MT,0.75
degradacao,"11","2022",Sentinel-2,PA,0.74
degradacao,"11","2022",Sentinel-2,MT,0.74
degradacao,"11","2022",Sentinel-2,MT,0.74
degradacao,"11","2022",Sentinel-2,AM,0.74
degradacao,"11","2022",Sentinel-2,PA,0.74
degradacao,"11","2022",Sentinel-2,MT,0.73
degradacao,"11","2022",Sentinel-2,PA,0.73
degradacao,"11","2022",Sentinel-2,MT,0.71
degradacao,"11","2022",Sentinel-2,MT,0.71
degradacao,"11","2022",Sentinel-2,PA,0.70
degradacao,"11","2022",Sentinel-2,MT,0.69
degradacao,"11","2022",Sentinel-2,AM,0.68
