sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
PA,496.113703732,não autorizada,2019,PDS OURO BRANCO,COM,Uruará,1508159
PA,163.506558453,não autorizada,2010,PDS OURO BRANCO,COM,Uruará,1508159
PA,496.113703732,não autorizada,2019,PDS OURO BRANCO,COM,Uruará,1508159
PA,328.009984567,não autorizada,2011,PDS OURO BRANCO,COM,Uruará,1508159
PA,23.9738477049,não autorizada,2019,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,69.1849473124,não autorizada,2010,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,23.9738477049,não autorizada,2019,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,274.423701947,não autorizada,2011,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,59.6705432821,não autorizada,2019,PA CORTA CORDA,ARU,Santarém,1506807
PA,444.56385617,,2020,PA CORTA CORDA,ARU,Santarém,1506807
PA,98.8623221659,não autorizada,2019,PA CORTA CORDA,ARU,Santarém,1506807
PA,19.6439543475,não autorizada,2009,PA CORTA CORDA,ARU,Santarém,1506807
PA,98.8623221659,não autorizada,2019,PA CORTA CORDA,ARU,Santarém,1506807
PA,14.7143088622,,2020,PA CORTA CORDA,ARU,Santarém,1506807
PA,22.3689921536,autorizada,2018,PAQ ESPECIAL QUILOMBOLA EREPECURÚ,ARU,Oriximiná,1505304
PA,734.893548765,autorizada,2016,PAQ ESPECIAL QUILOMBOLA EREPECURÚ,ARU,Oriximiná,1505304
PA,22.5509271581,autorizada,2018,PAQ ESPECIAL QUILOMBOLA EREPECURÚ,ARU,Oriximiná,1505304
PA,734.893548765,autorizada,2016,PAQ ESPECIAL QUILOMBOLA EREPECURÚ,ARU,Oriximiná,1505304
PA,456.120806937,autorizada,2018,PAQ ESPECIAL QUILOMBOLA EREPECURÚ,ARU,Oriximiná,1505304
PA,734.893548765,autorizada,2016,PAQ ESPECIAL QUILOMBOLA EREPECURÚ,ARU,Oriximiná,1505304
PA,76.0869573856,não autorizada,2018,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,53.2784570961,,2020,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,67.7628325067,não autorizada,2018,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,67.7628325067,não autorizada,2018,PAC OURO BRANCO II,ARU,Uruará,1508159
